Year,County,PSI,PSIDescription,Count,Population,ObsRate
2015,STATEWIDE,26,Transfusion Reaction,9,21475301,0.04
2005,Alameda,26,Transfusion Reaction,0,1102068,0
2006,Alameda,26,Transfusion Reaction,1,1106823,0.09
2007,Alameda,26,Transfusion Reaction,1,1117973,0.09
2008,Alameda,26,Transfusion Reaction,0,1136417,0
2009,Alameda,26,Transfusion Reaction,1,1155287,0.09
2010,Alameda,26,Transfusion Reaction,0,1169910,0
2011,Alameda,26,Transfusion Reaction,1,1186810,0.08
2012,Alameda,26,Transfusion Reaction,1,1173980,0.09
2013,Alameda,26,Transfusion Reaction,1,1197759,0.08
2014,Alameda,26,Transfusion Reaction,0,1192027,0
2015,Alameda,26,Transfusion Reaction,0,923607,0
2005,Alpine,26,Transfusion Reaction,0,979,0
2006,Alpine,26,Transfusion Reaction,0,1001,0
2007,Alpine,26,Transfusion Reaction,0,1009,0
2008,Alpine,26,Transfusion Reaction,0,957,0
2009,Alpine,26,Transfusion Reaction,0,947,0
2010,Alpine,26,Transfusion Reaction,0,895,0
2011,Alpine,26,Transfusion Reaction,0,888,0
2012,Alpine,26,Transfusion Reaction,0,2975,0
2013,Alpine,26,Transfusion Reaction,0,2967,0
2014,Alpine,26,Transfusion Reaction,0,2018,0
2015,Alpine,26,Transfusion Reaction,0,3000,0
2005,Amador,26,Transfusion Reaction,0,31101,0
2006,Amador,26,Transfusion Reaction,0,31460,0
2007,Amador,26,Transfusion Reaction,0,31883,0
2008,Amador,26,Transfusion Reaction,0,31619,0
2009,Amador,26,Transfusion Reaction,0,31769,0
2010,Amador,26,Transfusion Reaction,0,31720,0
2011,Amador,26,Transfusion Reaction,0,31760,0
2012,Amador,26,Transfusion Reaction,0,32614,0
2013,Amador,26,Transfusion Reaction,0,32252,0
2014,Amador,26,Transfusion Reaction,0,33224,0
2015,Amador,26,Transfusion Reaction,0,24635,0
2005,Butte,26,Transfusion Reaction,0,165310,0
2006,Butte,26,Transfusion Reaction,0,167351,0
2007,Butte,26,Transfusion Reaction,0,168208,0
2008,Butte,26,Transfusion Reaction,0,169793,0
2009,Butte,26,Transfusion Reaction,0,170726,0
2010,Butte,26,Transfusion Reaction,0,171576,0
2011,Butte,26,Transfusion Reaction,0,172643,0
2012,Butte,26,Transfusion Reaction,1,169573,0.59
2013,Butte,26,Transfusion Reaction,0,170817,0
2014,Butte,26,Transfusion Reaction,0,175975,0
2015,Butte,26,Transfusion Reaction,0,128928,0
2005,Calaveras,26,Transfusion Reaction,0,35913,0
2006,Calaveras,26,Transfusion Reaction,1,36599,2.73
2007,Calaveras,26,Transfusion Reaction,1,36944,2.71
2008,Calaveras,26,Transfusion Reaction,0,37092,0
2009,Calaveras,26,Transfusion Reaction,0,36875,0
2010,Calaveras,26,Transfusion Reaction,0,36801,0
2011,Calaveras,26,Transfusion Reaction,0,36652,0
2012,Calaveras,26,Transfusion Reaction,0,37597,0
2013,Calaveras,26,Transfusion Reaction,0,37646,0
2014,Calaveras,26,Transfusion Reaction,0,38886,0
2015,Calaveras,26,Transfusion Reaction,0,28698,0
2005,Colusa,26,Transfusion Reaction,0,14456,0
2006,Colusa,26,Transfusion Reaction,0,14677,0
2007,Colusa,26,Transfusion Reaction,0,14837,0
2008,Colusa,26,Transfusion Reaction,0,14891,0
2009,Colusa,26,Transfusion Reaction,0,14960,0
2010,Colusa,26,Transfusion Reaction,0,15117,0
2011,Colusa,26,Transfusion Reaction,0,15206,0
2012,Colusa,26,Transfusion Reaction,0,16676,0
2013,Colusa,26,Transfusion Reaction,0,16775,0
2014,Colusa,26,Transfusion Reaction,0,16640,0
2015,Colusa,26,Transfusion Reaction,0,13258,0
2005,Contra Costa,26,Transfusion Reaction,0,744835,0
2006,Contra Costa,26,Transfusion Reaction,2,747747,0.27
2007,Contra Costa,26,Transfusion Reaction,0,755752,0
2008,Contra Costa,26,Transfusion Reaction,0,767612,0
2009,Contra Costa,26,Transfusion Reaction,0,780970,0
2010,Contra Costa,26,Transfusion Reaction,0,793960,0
2011,Contra Costa,26,Transfusion Reaction,0,808054,0
2012,Contra Costa,26,Transfusion Reaction,0,793369,0
2013,Contra Costa,26,Transfusion Reaction,0,808882,0
2014,Contra Costa,26,Transfusion Reaction,1,818959,0.12
2015,Contra Costa,26,Transfusion Reaction,0,620275,0
2005,Del Norte,26,Transfusion Reaction,0,22067,0
2006,Del Norte,26,Transfusion Reaction,0,22055,0
2007,Del Norte,26,Transfusion Reaction,0,22315,0
2008,Del Norte,26,Transfusion Reaction,0,22398,0
2009,Del Norte,26,Transfusion Reaction,0,22525,0
2010,Del Norte,26,Transfusion Reaction,0,22507,0
2011,Del Norte,26,Transfusion Reaction,0,22606,0
2012,Del Norte,26,Transfusion Reaction,0,23687,0
2013,Del Norte,26,Transfusion Reaction,0,23420,0
2014,Del Norte,26,Transfusion Reaction,0,23656,0
2015,Del Norte,26,Transfusion Reaction,0,17650,0
2005,El Dorado,26,Transfusion Reaction,0,132739,0
2006,El Dorado,26,Transfusion Reaction,0,134458,0
2007,El Dorado,26,Transfusion Reaction,0,135852,0
2008,El Dorado,26,Transfusion Reaction,0,137534,0
2009,El Dorado,26,Transfusion Reaction,0,139337,0
2010,El Dorado,26,Transfusion Reaction,0,140597,0
2011,El Dorado,26,Transfusion Reaction,0,141461,0
2012,El Dorado,26,Transfusion Reaction,0,139213,0
2013,El Dorado,26,Transfusion Reaction,0,140808,0
2014,El Dorado,26,Transfusion Reaction,0,146643,0
2015,El Dorado,26,Transfusion Reaction,0,106572,0
2005,Fresno,26,Transfusion Reaction,0,605300,0
2006,Fresno,26,Transfusion Reaction,0,614966,0
2007,Fresno,26,Transfusion Reaction,0,624332,0
2008,Fresno,26,Transfusion Reaction,0,634600,0
2009,Fresno,26,Transfusion Reaction,0,644386,0
2010,Fresno,26,Transfusion Reaction,0,654204,0
2011,Fresno,26,Transfusion Reaction,1,664750,0.15
2012,Fresno,26,Transfusion Reaction,2,642666,0.31
2013,Fresno,26,Transfusion Reaction,0,650435,0
2014,Fresno,26,Transfusion Reaction,0,679486,0
2015,Fresno,26,Transfusion Reaction,0,491442,0
2005,Glenn,26,Transfusion Reaction,0,19553,0
2006,Glenn,26,Transfusion Reaction,0,19729,0
2007,Glenn,26,Transfusion Reaction,0,19842,0
2008,Glenn,26,Transfusion Reaction,0,20067,0
2009,Glenn,26,Transfusion Reaction,0,20155,0
2010,Glenn,26,Transfusion Reaction,0,20313,0
2011,Glenn,26,Transfusion Reaction,0,20400,0
2012,Glenn,26,Transfusion Reaction,0,21643,0
2013,Glenn,26,Transfusion Reaction,0,21703,0
2014,Glenn,26,Transfusion Reaction,0,21574,0
2015,Glenn,26,Transfusion Reaction,0,16846,0
2005,Humboldt,26,Transfusion Reaction,0,102809,0
2006,Humboldt,26,Transfusion Reaction,0,103611,0
2007,Humboldt,26,Transfusion Reaction,0,103821,0
2008,Humboldt,26,Transfusion Reaction,0,104570,0
2009,Humboldt,26,Transfusion Reaction,0,105478,0
2010,Humboldt,26,Transfusion Reaction,0,106717,0
2011,Humboldt,26,Transfusion Reaction,0,107013,0
2012,Humboldt,26,Transfusion Reaction,0,105607,0
2013,Humboldt,26,Transfusion Reaction,0,105726,0
2014,Humboldt,26,Transfusion Reaction,0,108619,0
2015,Humboldt,26,Transfusion Reaction,0,79121,0
2005,Imperial,26,Transfusion Reaction,0,109478,0
2006,Imperial,26,Transfusion Reaction,0,112879,0
2007,Imperial,26,Transfusion Reaction,0,115944,0
2008,Imperial,26,Transfusion Reaction,0,118550,0
2009,Imperial,26,Transfusion Reaction,0,121552,0
2010,Imperial,26,Transfusion Reaction,0,124055,0
2011,Imperial,26,Transfusion Reaction,1,125985,0.79
2012,Imperial,26,Transfusion Reaction,0,122385,0
2013,Imperial,26,Transfusion Reaction,0,122276,0
2014,Imperial,26,Transfusion Reaction,0,130127,0
2015,Imperial,26,Transfusion Reaction,0,92754,0
2005,Inyo,26,Transfusion Reaction,0,14549,0
2006,Inyo,26,Transfusion Reaction,0,14456,0
2007,Inyo,26,Transfusion Reaction,0,14505,0
2008,Inyo,26,Transfusion Reaction,0,14485,0
2009,Inyo,26,Transfusion Reaction,0,14651,0
2010,Inyo,26,Transfusion Reaction,0,14670,0
2011,Inyo,26,Transfusion Reaction,0,14640,0
2012,Inyo,26,Transfusion Reaction,0,16277,0
2013,Inyo,26,Transfusion Reaction,0,16250,0
2014,Inyo,26,Transfusion Reaction,0,15730,0
2015,Inyo,26,Transfusion Reaction,0,12814,0
2005,Kern,26,Transfusion Reaction,0,526395,0
2006,Kern,26,Transfusion Reaction,0,544084,0
2007,Kern,26,Transfusion Reaction,1,557795,0.18
2008,Kern,26,Transfusion Reaction,0,568635,0
2009,Kern,26,Transfusion Reaction,0,578043,0
2010,Kern,26,Transfusion Reaction,0,587730,0
2011,Kern,26,Transfusion Reaction,2,597565,0.33
2012,Kern,26,Transfusion Reaction,1,576340,0.17
2013,Kern,26,Transfusion Reaction,0,583929,0
2014,Kern,26,Transfusion Reaction,0,622019,0
2015,Kern,26,Transfusion Reaction,0,441243,0
2005,Kings,26,Transfusion Reaction,0,104744,0
2006,Kings,26,Transfusion Reaction,0,106917,0
2007,Kings,26,Transfusion Reaction,0,108972,0
2008,Kings,26,Transfusion Reaction,0,110111,0
2009,Kings,26,Transfusion Reaction,0,109913,0
2010,Kings,26,Transfusion Reaction,0,110532,0
2011,Kings,26,Transfusion Reaction,0,111322,0
2012,Kings,26,Transfusion Reaction,0,107485,0
2013,Kings,26,Transfusion Reaction,0,107035,0
2014,Kings,26,Transfusion Reaction,0,114326,0
2015,Kings,26,Transfusion Reaction,0,78983,0
2005,Lake,26,Transfusion Reaction,0,49529,0
2006,Lake,26,Transfusion Reaction,0,49985,0
2007,Lake,26,Transfusion Reaction,0,50130,0
2008,Lake,26,Transfusion Reaction,0,50505,0
2009,Lake,26,Transfusion Reaction,0,50721,0
2010,Lake,26,Transfusion Reaction,0,51151,0
2011,Lake,26,Transfusion Reaction,0,51085,0
2012,Lake,26,Transfusion Reaction,0,51501,0
2013,Lake,26,Transfusion Reaction,0,51581,0
2014,Lake,26,Transfusion Reaction,0,52953,0
2015,Lake,26,Transfusion Reaction,0,39003,0
2005,Lassen,26,Transfusion Reaction,0,27722,0
2006,Lassen,26,Transfusion Reaction,0,27919,0
2007,Lassen,26,Transfusion Reaction,0,29030,0
2008,Lassen,26,Transfusion Reaction,0,28658,0
2009,Lassen,26,Transfusion Reaction,0,28696,0
2010,Lassen,26,Transfusion Reaction,0,28485,0
2011,Lassen,26,Transfusion Reaction,0,28179,0
2012,Lassen,26,Transfusion Reaction,0,29146,0
2013,Lassen,26,Transfusion Reaction,0,27797,0
2014,Lassen,26,Transfusion Reaction,0,29236,0
2015,Lassen,26,Transfusion Reaction,0,20747,0
2005,Los Angeles,26,Transfusion Reaction,4,7202516,0.06
2006,Los Angeles,26,Transfusion Reaction,6,7208716,0.08
2007,Los Angeles,26,Transfusion Reaction,0,7223112,0
2008,Los Angeles,26,Transfusion Reaction,4,7281072,0.05
2009,Los Angeles,26,Transfusion Reaction,2,7353912,0.03
2010,Los Angeles,26,Transfusion Reaction,2,7416633,0.03
2011,Los Angeles,26,Transfusion Reaction,2,7504083,0.03
2012,Los Angeles,26,Transfusion Reaction,4,7317992,0.05
2013,Los Angeles,26,Transfusion Reaction,3,7410685,0.04
2014,Los Angeles,26,Transfusion Reaction,5,7525122,0.07
2015,Los Angeles,26,Transfusion Reaction,4,5622301,0.07
2005,Madera,26,Transfusion Reaction,0,100047,0
2006,Madera,26,Transfusion Reaction,0,102344,0
2007,Madera,26,Transfusion Reaction,0,104227,0
2008,Madera,26,Transfusion Reaction,0,105909,0
2009,Madera,26,Transfusion Reaction,0,106674,0
2010,Madera,26,Transfusion Reaction,0,108385,0
2011,Madera,26,Transfusion Reaction,0,109902,0
2012,Madera,26,Transfusion Reaction,0,106934,0
2013,Madera,26,Transfusion Reaction,0,107252,0
2014,Madera,26,Transfusion Reaction,0,113845,0
2015,Madera,26,Transfusion Reaction,0,81407,0
2005,Marin,26,Transfusion Reaction,0,194828,0
2006,Marin,26,Transfusion Reaction,2,194956,1.03
2007,Marin,26,Transfusion Reaction,1,196294,0.51
2008,Marin,26,Transfusion Reaction,0,197929,0
2009,Marin,26,Transfusion Reaction,0,199904,0
2010,Marin,26,Transfusion Reaction,0,201547,0
2011,Marin,26,Transfusion Reaction,0,203181,0
2012,Marin,26,Transfusion Reaction,0,200046,0
2013,Marin,26,Transfusion Reaction,2,202161,0.99
2014,Marin,26,Transfusion Reaction,0,201613,0
2015,Marin,26,Transfusion Reaction,1,152906,0.65
2005,Mariposa,26,Transfusion Reaction,0,14466,0
2006,Mariposa,26,Transfusion Reaction,0,14728,0
2007,Mariposa,26,Transfusion Reaction,0,14903,0
2008,Mariposa,26,Transfusion Reaction,0,14996,0
2009,Mariposa,26,Transfusion Reaction,0,14925,0
2010,Mariposa,26,Transfusion Reaction,0,15017,0
2011,Mariposa,26,Transfusion Reaction,0,15033,0
2012,Mariposa,26,Transfusion Reaction,0,16563,0
2013,Mariposa,26,Transfusion Reaction,0,16491,0
2014,Mariposa,26,Transfusion Reaction,0,16334,0
2015,Mariposa,26,Transfusion Reaction,0,12911,0
2005,Mendocino,26,Transfusion Reaction,0,67693,0
2006,Mendocino,26,Transfusion Reaction,0,67469,0
2007,Mendocino,26,Transfusion Reaction,0,67582,0
2008,Mendocino,26,Transfusion Reaction,0,68025,0
2009,Mendocino,26,Transfusion Reaction,0,68421,0
2010,Mendocino,26,Transfusion Reaction,0,68517,0
2011,Mendocino,26,Transfusion Reaction,0,68336,0
2012,Mendocino,26,Transfusion Reaction,0,68344,0
2013,Mendocino,26,Transfusion Reaction,0,68379,0
2014,Mendocino,26,Transfusion Reaction,0,69334,0
2015,Mendocino,26,Transfusion Reaction,0,51516,0
2005,Merced,26,Transfusion Reaction,0,162795,0
2006,Merced,26,Transfusion Reaction,0,165009,0
2007,Merced,26,Transfusion Reaction,0,167724,0
2008,Merced,26,Transfusion Reaction,0,169736,0
2009,Merced,26,Transfusion Reaction,0,171809,0
2010,Merced,26,Transfusion Reaction,0,175232,0
2011,Merced,26,Transfusion Reaction,0,178783,0
2012,Merced,26,Transfusion Reaction,0,174274,0
2013,Merced,26,Transfusion Reaction,0,176084,0
2014,Merced,26,Transfusion Reaction,1,184892,0.54
2015,Merced,26,Transfusion Reaction,0,133727,0
2005,Modoc,26,Transfusion Reaction,0,7407,0
2006,Modoc,26,Transfusion Reaction,0,7461,0
2007,Modoc,26,Transfusion Reaction,0,7429,0
2008,Modoc,26,Transfusion Reaction,0,7469,0
2009,Modoc,26,Transfusion Reaction,0,7565,0
2010,Modoc,26,Transfusion Reaction,0,7599,0
2011,Modoc,26,Transfusion Reaction,0,7517,0
2012,Modoc,26,Transfusion Reaction,0,9249,0
2013,Modoc,26,Transfusion Reaction,0,9141,0
2014,Modoc,26,Transfusion Reaction,0,8570,0
2015,Modoc,26,Transfusion Reaction,0,7417,0
2005,Mono,26,Transfusion Reaction,0,10514,0
2006,Mono,26,Transfusion Reaction,0,10747,0
2007,Mono,26,Transfusion Reaction,0,10719,0
2008,Mono,26,Transfusion Reaction,0,10892,0
2009,Mono,26,Transfusion Reaction,0,11055,0
2010,Mono,26,Transfusion Reaction,0,11224,0
2011,Mono,26,Transfusion Reaction,0,11294,0
2012,Mono,26,Transfusion Reaction,0,13186,0
2013,Mono,26,Transfusion Reaction,0,12990,0
2014,Mono,26,Transfusion Reaction,0,12503,0
2015,Mono,26,Transfusion Reaction,0,10444,0
2005,Monterey,26,Transfusion Reaction,0,294634,0
2006,Monterey,26,Transfusion Reaction,0,292832,0
2007,Monterey,26,Transfusion Reaction,0,293684,0
2008,Monterey,26,Transfusion Reaction,1,296155,0.34
2009,Monterey,26,Transfusion Reaction,0,299502,0
2010,Monterey,26,Transfusion Reaction,1,304351,0.33
2011,Monterey,26,Transfusion Reaction,0,308056,0
2012,Monterey,26,Transfusion Reaction,0,301958,0
2013,Monterey,26,Transfusion Reaction,0,304287,0
2014,Monterey,26,Transfusion Reaction,0,305907,0
2015,Monterey,26,Transfusion Reaction,0,229305,0
2005,Napa,26,Transfusion Reaction,0,99628,0
2006,Napa,26,Transfusion Reaction,0,100569,0
2007,Napa,26,Transfusion Reaction,0,101701,0
2008,Napa,26,Transfusion Reaction,0,102958,0
2009,Napa,26,Transfusion Reaction,0,103909,0
2010,Napa,26,Transfusion Reaction,0,105302,0
2011,Napa,26,Transfusion Reaction,0,106488,0
2012,Napa,26,Transfusion Reaction,0,106095,0
2013,Napa,26,Transfusion Reaction,0,107433,0
2014,Napa,26,Transfusion Reaction,0,108610,0
2015,Napa,26,Transfusion Reaction,0,82361,0
2005,Nevada,26,Transfusion Reaction,0,77111,0
2006,Nevada,26,Transfusion Reaction,0,77728,0
2007,Nevada,26,Transfusion Reaction,0,78179,0
2008,Nevada,26,Transfusion Reaction,0,78803,0
2009,Nevada,26,Transfusion Reaction,0,79505,0
2010,Nevada,26,Transfusion Reaction,0,80097,0
2011,Nevada,26,Transfusion Reaction,0,80389,0
2012,Nevada,26,Transfusion Reaction,0,80329,0
2013,Nevada,26,Transfusion Reaction,0,80699,0
2014,Nevada,26,Transfusion Reaction,0,82513,0
2015,Nevada,26,Transfusion Reaction,0,61125,0
2005,Orange,26,Transfusion Reaction,2,2180617,0.09
2006,Orange,26,Transfusion Reaction,0,2185121,0
2007,Orange,26,Transfusion Reaction,0,2194736,0
2008,Orange,26,Transfusion Reaction,0,2219901,0
2009,Orange,26,Transfusion Reaction,0,2249030,0
2010,Orange,26,Transfusion Reaction,2,2279215,0.09
2011,Orange,26,Transfusion Reaction,2,2319605,0.09
2012,Orange,26,Transfusion Reaction,1,2270432,0.04
2013,Orange,26,Transfusion Reaction,1,2303808,0.04
2014,Orange,26,Transfusion Reaction,0,2330275,0
2015,Orange,26,Transfusion Reaction,0,1754644,0
2005,Placer,26,Transfusion Reaction,0,233967,0
2006,Placer,26,Transfusion Reaction,0,241760,0
2007,Placer,26,Transfusion Reaction,0,247749,0
2008,Placer,26,Transfusion Reaction,0,254728,0
2009,Placer,26,Transfusion Reaction,0,260230,0
2010,Placer,26,Transfusion Reaction,0,265780,0
2011,Placer,26,Transfusion Reaction,1,272624,0.37
2012,Placer,26,Transfusion Reaction,0,269220,0
2013,Placer,26,Transfusion Reaction,0,275142,0
2014,Placer,26,Transfusion Reaction,0,291385,0
2015,Placer,26,Transfusion Reaction,0,211518,0
2005,Plumas,26,Transfusion Reaction,0,16762,0
2006,Plumas,26,Transfusion Reaction,0,16591,0
2007,Plumas,26,Transfusion Reaction,0,16601,0
2008,Plumas,26,Transfusion Reaction,0,16521,0
2009,Plumas,26,Transfusion Reaction,0,16384,0
2010,Plumas,26,Transfusion Reaction,0,16311,0
2011,Plumas,26,Transfusion Reaction,0,16239,0
2012,Plumas,26,Transfusion Reaction,0,17560,0
2013,Plumas,26,Transfusion Reaction,0,17229,0
2014,Plumas,26,Transfusion Reaction,0,16981,0
2015,Plumas,26,Transfusion Reaction,0,13235,0
2005,Riverside,26,Transfusion Reaction,0,1365225,0
2006,Riverside,26,Transfusion Reaction,0,1423074,0
2007,Riverside,26,Transfusion Reaction,0,1468741,0
2008,Riverside,26,Transfusion Reaction,1,1497677,0.07
2009,Riverside,26,Transfusion Reaction,1,1532584,0.07
2010,Riverside,26,Transfusion Reaction,0,1579716,0
2011,Riverside,26,Transfusion Reaction,1,1618245,0.06
2012,Riverside,26,Transfusion Reaction,3,1578971,0.19
2013,Riverside,26,Transfusion Reaction,0,1608253,0
2014,Riverside,26,Transfusion Reaction,3,1723126,0.17
2015,Riverside,26,Transfusion Reaction,1,1235866,0.08
2005,Sacramento,26,Transfusion Reaction,0,1001691,0
2006,Sacramento,26,Transfusion Reaction,0,1010429,0
2007,Sacramento,26,Transfusion Reaction,2,1020852,0.2
2008,Sacramento,26,Transfusion Reaction,0,1032542,0
2009,Sacramento,26,Transfusion Reaction,0,1046094,0
2010,Sacramento,26,Transfusion Reaction,0,1058518,0
2011,Sacramento,26,Transfusion Reaction,4,1075584,0.37
2012,Sacramento,26,Transfusion Reaction,1,1052498,0.1
2013,Sacramento,26,Transfusion Reaction,0,1066996,0
2014,Sacramento,26,Transfusion Reaction,0,1102714,0
2015,Sacramento,26,Transfusion Reaction,0,812828,0
2005,San Benito,26,Transfusion Reaction,0,38212,0
2006,San Benito,26,Transfusion Reaction,0,37946,0
2007,San Benito,26,Transfusion Reaction,0,37962,0
2008,San Benito,26,Transfusion Reaction,0,38262,0
2009,San Benito,26,Transfusion Reaction,0,38665,0
2010,San Benito,26,Transfusion Reaction,0,39605,0
2011,San Benito,26,Transfusion Reaction,0,40265,0
2012,San Benito,26,Transfusion Reaction,0,41402,0
2013,San Benito,26,Transfusion Reaction,0,42194,0
2014,San Benito,26,Transfusion Reaction,0,41257,0
2015,San Benito,26,Transfusion Reaction,1,33017,3.03
2005,San Bernardino,26,Transfusion Reaction,2,1347408,0.15
2006,San Bernardino,26,Transfusion Reaction,0,1373516,0
2007,San Bernardino,26,Transfusion Reaction,1,1390849,0.07
2008,San Bernardino,26,Transfusion Reaction,0,1405191,0
2009,San Bernardino,26,Transfusion Reaction,0,1420975,0
2010,San Bernardino,26,Transfusion Reaction,1,1447189,0.07
2011,San Bernardino,26,Transfusion Reaction,1,1474036,0.07
2012,San Bernardino,26,Transfusion Reaction,1,1428592,0.07
2013,San Bernardino,26,Transfusion Reaction,0,1446673,0
2014,San Bernardino,26,Transfusion Reaction,0,1521005,0
2015,San Bernardino,26,Transfusion Reaction,1,1099744,0.09
2005,San Diego,26,Transfusion Reaction,1,2214544,0.05
2006,San Diego,26,Transfusion Reaction,1,2229606,0.04
2007,San Diego,26,Transfusion Reaction,2,2257236,0.09
2008,San Diego,26,Transfusion Reaction,0,2296616,0
2009,San Diego,26,Transfusion Reaction,0,2332413,0
2010,San Diego,26,Transfusion Reaction,1,2372232,0.04
2011,San Diego,26,Transfusion Reaction,10,2407960,0.42
2012,San Diego,26,Transfusion Reaction,7,2359002,0.3
2013,San Diego,26,Transfusion Reaction,1,2394181,0.04
2014,San Diego,26,Transfusion Reaction,1,2438827,0.04
2015,San Diego,26,Transfusion Reaction,0,1829497,0
2005,San Francisco,26,Transfusion Reaction,1,655221,0.15
2006,San Francisco,26,Transfusion Reaction,0,661295,0
2007,San Francisco,26,Transfusion Reaction,1,670554,0.15
2008,San Francisco,26,Transfusion Reaction,0,682007,0
2009,San Francisco,26,Transfusion Reaction,0,691485,0
2010,San Francisco,26,Transfusion Reaction,0,694816,0
2011,San Francisco,26,Transfusion Reaction,0,701321,0
2012,San Francisco,26,Transfusion Reaction,2,704143,0.28
2013,San Francisco,26,Transfusion Reaction,1,712976,0.14
2014,San Francisco,26,Transfusion Reaction,0,709035,0
2015,San Francisco,26,Transfusion Reaction,0,548383,0
2005,San Joaquin,26,Transfusion Reaction,1,458859,0.22
2006,San Joaquin,26,Transfusion Reaction,0,463522,0
2007,San Joaquin,26,Transfusion Reaction,0,468057,0
2008,San Joaquin,26,Transfusion Reaction,0,471774,0
2009,San Joaquin,26,Transfusion Reaction,0,478055,0
2010,San Joaquin,26,Transfusion Reaction,0,486701,0
2011,San Joaquin,26,Transfusion Reaction,3,495680,0.61
2012,San Joaquin,26,Transfusion Reaction,1,482094,0.21
2013,San Joaquin,26,Transfusion Reaction,2,486694,0.41
2014,San Joaquin,26,Transfusion Reaction,1,510294,0.2
2015,San Joaquin,26,Transfusion Reaction,0,370942,0
2005,San Luis Obispo,26,Transfusion Reaction,0,203693,0
2006,San Luis Obispo,26,Transfusion Reaction,0,205958,0
2007,San Luis Obispo,26,Transfusion Reaction,0,208250,0
2008,San Luis Obispo,26,Transfusion Reaction,1,211458,0.47
2009,San Luis Obispo,26,Transfusion Reaction,0,213363,0
2010,San Luis Obispo,26,Transfusion Reaction,0,215558,0
2011,San Luis Obispo,26,Transfusion Reaction,0,216909,0
2012,San Luis Obispo,26,Transfusion Reaction,1,212867,0.47
2013,San Luis Obispo,26,Transfusion Reaction,0,214971,0
2014,San Luis Obispo,26,Transfusion Reaction,0,220837,0
2015,San Luis Obispo,26,Transfusion Reaction,0,162048,0
2005,San Mateo,26,Transfusion Reaction,0,535835,0
2006,San Mateo,26,Transfusion Reaction,0,536688,0
2007,San Mateo,26,Transfusion Reaction,0,540450,0
2008,San Mateo,26,Transfusion Reaction,2,548332,0.36
2009,San Mateo,26,Transfusion Reaction,0,556343,0
2010,San Mateo,26,Transfusion Reaction,0,561671,0
2011,San Mateo,26,Transfusion Reaction,2,567914,0.35
2012,San Mateo,26,Transfusion Reaction,0,563760,0
2013,San Mateo,26,Transfusion Reaction,0,572187,0
2014,San Mateo,26,Transfusion Reaction,0,567038,0
2015,San Mateo,26,Transfusion Reaction,0,438734,0
2005,Santa Barbara,26,Transfusion Reaction,0,306606,0
2006,Santa Barbara,26,Transfusion Reaction,2,307420,0.65
2007,Santa Barbara,26,Transfusion Reaction,0,310281,0
2008,Santa Barbara,26,Transfusion Reaction,0,314006,0
2009,Santa Barbara,26,Transfusion Reaction,0,317734,0
2010,Santa Barbara,26,Transfusion Reaction,0,321346,0
2011,Santa Barbara,26,Transfusion Reaction,0,323344,0
2012,Santa Barbara,26,Transfusion Reaction,0,314909,0
2013,Santa Barbara,26,Transfusion Reaction,0,319459,0
2014,Santa Barbara,26,Transfusion Reaction,2,324453,0.62
2015,Santa Barbara,26,Transfusion Reaction,0,241070,0
2005,Santa Clara,26,Transfusion Reaction,0,1267009,0
2006,Santa Clara,26,Transfusion Reaction,1,1280352,0.08
2007,Santa Clara,26,Transfusion Reaction,2,1297418,0.15
2008,Santa Clara,26,Transfusion Reaction,0,1319407,0
2009,Santa Clara,26,Transfusion Reaction,2,1339490,0.15
2010,Santa Clara,26,Transfusion Reaction,0,1357407,0
2011,Santa Clara,26,Transfusion Reaction,0,1377352,0
2012,Santa Clara,26,Transfusion Reaction,1,1358776,0.07
2013,Santa Clara,26,Transfusion Reaction,0,1383328,0
2014,Santa Clara,26,Transfusion Reaction,0,1385342,0
2015,Santa Clara,26,Transfusion Reaction,1,1063381,0.09
2005,Santa Cruz,26,Transfusion Reaction,0,193146,0
2006,Santa Cruz,26,Transfusion Reaction,0,193902,0
2007,Santa Cruz,26,Transfusion Reaction,0,195548,0
2008,Santa Cruz,26,Transfusion Reaction,0,198374,0
2009,Santa Cruz,26,Transfusion Reaction,0,201450,0
2010,Santa Cruz,26,Transfusion Reaction,0,204227,0
2011,Santa Cruz,26,Transfusion Reaction,0,205429,0
2012,Santa Cruz,26,Transfusion Reaction,0,200670,0
2013,Santa Cruz,26,Transfusion Reaction,0,203323,0
2014,Santa Cruz,26,Transfusion Reaction,0,204815,0
2015,Santa Cruz,26,Transfusion Reaction,0,153534,0
2005,Shasta,26,Transfusion Reaction,0,133597,0
2006,Shasta,26,Transfusion Reaction,0,134702,0
2007,Shasta,26,Transfusion Reaction,0,135409,0
2008,Shasta,26,Transfusion Reaction,0,136355,0
2009,Shasta,26,Transfusion Reaction,0,137066,0
2010,Shasta,26,Transfusion Reaction,0,137755,0
2011,Shasta,26,Transfusion Reaction,0,138865,0
2012,Shasta,26,Transfusion Reaction,0,137373,0
2013,Shasta,26,Transfusion Reaction,0,138135,0
2014,Shasta,26,Transfusion Reaction,0,142262,0
2015,Shasta,26,Transfusion Reaction,0,104057,0
2005,Sierra,26,Transfusion Reaction,0,2724,0
2006,Sierra,26,Transfusion Reaction,0,2774,0
2007,Sierra,26,Transfusion Reaction,0,2756,0
2008,Sierra,26,Transfusion Reaction,0,2742,0
2009,Sierra,26,Transfusion Reaction,0,2687,0
